Card Name,Elixir,Cost Category,Role,Attack Type,Target Type,Damage Type,Special Abilities,Rarity,Speed,Hit Speed,Deploy Time,Range Classification,Archetype Affinity,Defensive Value,Offensive Value,Crowd Control,Splash Radius,Spawner,Troop Count,Lifetime,Counter Type,Meta Relevance,Skill Floor,Synergy Tags,Vulnerability Tags
Goblin Cage,4,Medium,Building,Ground,Ground,Single-target,Building that releases brawler when destroyed,Rare,0,0.5,1,3,"Siege, Graveyard",3,1,3,1,No,Building,Limited,Hard Counter,1,1,"good with spells, works with swarm distractions, pairs with cycle cards","vulnerable to spell damage, weak against earthquake, limited lifetime"
Goblin Drill,4,Medium,Win Condition,Ground,Ground,Single-target,"Underground movement, spawns goblins at destination",Rare,2,1,1,2,"Bridge Spam, Siege, Bait",1,1,2,2,No,Single,Standard,Even Match,2,2,"works with cycle cards, good against tanks, good with spells","weak against swarms, countered by distraction units, countered by buildings"
Fireball,4,Medium,Spell,Ground,Air & Ground,Area,"Area damage, knockback effect",Rare,0,0,0,4,"Bait, Graveyard",3,3,0,3,No,Spell,Duration,Even Match,2,3,"good with spells, pairs with tanks, works with ground support","predictable deployment, weak against buildings, less effective against single units"
Arrows,3,Low,Spell,Ground,Air & Ground,Area,"Wide area damage, anti-swarm",Epic,0,0,0,5,Siege,1,3,1,3,No,Spell,Instant,Hard Counter,3,3,"effective against swarms, good for finishing towers, pairs with win conditions","less effective against single units, weak against buildings, vulnerable to air units"
Rage,2,Low,Spell,Ground,Ground,Area,Increases movement and attack speed,Legendary,0,0,0,5,"Bait, Control, Graveyard",2,2,0,3,No,Spell,Instant,Soft Counter,3,1,"effective against swarms, good with pushes, works in cycle decks","less effective against single units, predictable deployment, weak against buildings"
Rocket,6,High,Spell,Ground,Air & Ground,Area,"High area damage, building destroyer",Legendary,0,0,0,5,"Beatdown, Bait, Cycle",3,1,2,1,No,Spell,Instant,Hard Counter,3,2,"works in cycle decks, good for finishing towers, works with ground support","limited value against spread units, less effective against single units, vulnerable to air units"
Goblin Barrel,3,Low,Win Condition,Ground,Ground,Single-target,Deploys goblins anywhere on arena,Champion,3,1.5,1,2,"Beatdown, Graveyard, Cycle",2,3,2,0,No,Single,Standard,Hard Counter,1,1,"works in bait decks, pairs with princess, good with rocket","countered by log, weak against arrows, vulnerable to barbarian barrel"
Freeze,4,Medium,Spell,Ground,Ground,Area,Immobilizes enemies for duration,Champion,0,0,0,4,"Bait, Control, Beatdown",3,3,3,1,No,Spell,Instant,Hard Counter,2,1,"good with pushes, effective against swarms, pairs with win conditions","weak against buildings, less effective against single units, vulnerable to air units"
Mirror,1,Unknown,Spell,Ground,Ground,Area,Plays last card again at +1 elixir,Champion,0,0,0,5,"Control, Bait, Cycle",3,1,3,3,No,Spell,Instant,Soft Counter,3,1,"pairs with air units, pairs with win conditions, works with ground support","less effective against single units, limited value against spread units, vulnerable to air units"
Lightning,6,High,Spell,Ground,Air & Ground,Area,Strikes three highest HP units in radius,Rare,0,0,0,4,"Bridge Spam, Control, Beatdown",2,2,1,0,No,Spell,Duration,Even Match,3,1,"works with ground support, good with spells, pairs with tanks","limited value against spread units, weak against buildings, vulnerable to air units"
Zap,2,Low,Spell,Ground,Air & Ground,Area,"Instant damage, stuns briefly, resets targeting",Legendary,0,0,0,4,Siege,1,1,1,3,No,Spell,Duration,Soft Counter,2,3,"pairs with air units, pairs with tanks, good for finishing towers","predictable deployment, weak against spread out units, less effective against single units"
Poison,4,Medium,Spell,Ground,Air & Ground,Area,"Area damage over time, slows spawning",Champion,0,0,0,4,"Bridge Spam, Cycle",2,3,1,0,No,Spell,Instant,Even Match,1,3,"good for finishing towers, pairs with air units, good with spells","weak against buildings, weak against spread out units, less effective against single units"
Graveyard,5,Medium,Win Condition,Ground,Ground,Single-target,Spawns skeletons randomly in area,Legendary,3,2.5,1,2,Beatdown,2,1,3,2,No,Single,Standard,Hard Counter,2,2,"good with spells, good with spells, works with swarm distractions","countered by distraction units, weak against swarms, weak against buildings"
The Log,2,Low,Spell,Ground,Ground,Area,"Knockback, ground units only, long range",Rare,0,0,0,4,Control,1,1,3,0,No,Spell,Duration,Hard Counter,2,2,"works with ground support, good with pushes, works in cycle decks","vulnerable to air units, weak against buildings, limited value against spread units"
Tornado,3,Low,Spell,Ground,Air & Ground,Area,"Pulls units to center, activates king tower",Common,0,0,0,5,"Beatdown, Bridge Spam, Graveyard",2,1,2,3,No,Spell,Duration,Soft Counter,1,1,"works with ground support, works in cycle decks, pairs with win conditions","vulnerable to air units, limited value against spread units, predictable deployment"
Clone,3,Low,Spell,Ground,Ground,Area,Creates copies of troops with 1 HP,Epic,0,0,0,4,Bait,1,1,0,0,No,Spell,Instant,Even Match,3,1,"good for finishing towers, good with pushes, good with spells","less effective against single units, limited value against spread units, weak against spread out units"
Earthquake,3,Low,Spell,Ground,Ground,Area,"Triple damage to buildings, slows troops",Epic,0,0,0,5,Beatdown,2,2,1,0,No,Spell,Instant,Hard Counter,1,2,"good with pushes, good for finishing towers, good with spells","less effective against single units, limited value against spread units, predictable deployment"
Barbarian Barrel,2,Low,Spell,Ground,Ground,Area,"Rolling damage, spawns barbarian",Champion,0,0,0,5,"Control, Bridge Spam",3,1,1,0,No,Spell,Instant,Even Match,2,3,"pairs with air units, pairs with tanks, good with pushes","vulnerable to air units, weak against buildings, limited value against spread units"
Heal Spirit,1,Low,Spell,Ground,Ground,Area,Heals friendly troops in radius,Epic,0,0,0,4,Bait,3,2,0,0,No,Spell,Duration,Even Match,3,1,"works with ground support, works in cycle decks, pairs with win conditions","limited value against spread units, weak against buildings, vulnerable to air units"
Giant Snowball,2,Low,Spell,Ground,Ground,Area,Knockback and slow effect,Epic,0,0,0,4,"Siege, Beatdown, Bridge Spam",1,2,2,1,No,Spell,Duration,Even Match,3,2,"works with ground support, pairs with tanks, good with pushes","predictable deployment, weak against spread out units, less effective against single units"
Royal Delivery,3,Low,Support,Ground,Ground,Single-target,"Area damage on drop, spawns royal recruit",Champion,1,3,1,1,"Bait, Graveyard",3,3,3,3,No,Single,Standard,Soft Counter,1,3,"pairs with splash units, works in cycle decks, good with spells","weak against buildings, vulnerable to splash damage, weak against air units"
Void,3,Low,Spell,Ground,Ground,Area,"Instant effect, targets ground, area damage",Legendary,0,0,0,5,"Siege, Graveyard",3,2,0,2,No,Spell,Duration,Soft Counter,1,1,"pairs with air units, works with ground support, pairs with win conditions","vulnerable to air units, predictable deployment, limited value against spread units"
Goblin Curse,2,Low,Support,Ground,Ground,Single-target,"Support value, targets ground, single-target damage",Legendary,1,2,1,4,Bait,1,3,2,0,No,Single,Standard,Hard Counter,2,2,"works in cycle decks, pairs with tanks, good with spells","vulnerable to air units, vulnerable to splash damage, countered by distraction units"
